ensg1	ensg2	score	interaction_type	data_source
ENSG00000140932	ENSG00000240045	0.49	PPI	IAH
ENSG00000117461	ENSG00000196553	0.49	PPI	IAH
ENSG00000084652	ENSG00000196553	0.49	PPI	IAH
ENSG00000094796	ENSG00000196553	0.7	PPI	IAH
ENSG00000134138	ENSG00000196553	0.49	PPI	IAH
ENSG00000154839	ENSG00000196553	0.49	PPI	IAH
ENSG00000130307	ENSG00000196553	0.49	PPI	IAH
ENSG00000100109	ENSG00000196553	0.56	PPI	IAH
ENSG00000134138	ENSG00000196553	0.56	PPI	IAH
ENSG00000164440	ENSG00000196553	0.7	PPI	IAH
ENSG00000171431	ENSG00000196553	0.49	PPI	IAH
ENSG00000175390	ENSG00000196553	0.49	PPI	IAH
ENSG00000106511	ENSG00000196553	0.49	PPI	IAH
ENSG00000114019	ENSG00000196553	0.49	PPI	IAH
ENSG00000161082	ENSG00000163694	0.49	PPI	IAH
ENSG00000163694	ENSG00000222047	0.49	PPI	IAH
ENSG00000163694	ENSG00000205352	0.49	PPI	IAH
ENSG00000163694	ENSG00000183570	0.49	PPI	IAH
ENSG00000163694	ENSG00000165588	0.49	PPI	IAH
ENSG00000096872	ENSG00000105948	0.51	PPI	IAH
ENSG00000088986	ENSG00000171045	0.49	PPI	IAH
ENSG00000129173	ENSG00000165891	0.52	PPI	IAH
ENSG00000033178	ENSG00000147421	0.56	PPI	IAH
ENSG00000117868	ENSG00000117868	0.68	PPI	IAH
ENSG00000117868	ENSG00000139641	0.46	PPI	IAH
ENSG00000139641	ENSG00000158220	0.46	PPI	IAH
ENSG00000117868	ENSG00000158220	0.46	PPI	IAH
ENSG00000063322	ENSG00000156603	0.8	PPI	IAH
ENSG00000187164	ENSG00000196482	0.56	PPI	IAH
ENSG00000143156	ENSG00000187164	0.56	PPI	IAH
ENSG00000121769	ENSG00000187164	0.56	PPI	IAH
ENSG00000145901	ENSG00000187164	0.49	PPI	IAH
ENSG00000143156	ENSG00000187164	0.49	PPI	IAH
ENSG00000121766	ENSG00000187164	0.49	PPI	IAH
ENSG00000187164	ENSG00000187164	0.49	PPI	IAH
ENSG00000121769	ENSG00000187164	0.49	PPI	IAH
ENSG00000135457	ENSG00000187164	0.56	PPI	IAH
ENSG00000129151	ENSG00000187164	0.56	PPI	IAH
ENSG00000152977	ENSG00000163331	0.49	PPI	IAH
ENSG00000075420	ENSG00000163331	0.49	PPI	IAH
ENSG00000157884	ENSG00000176182	0.49	PPI	IAH
ENSG00000157884	ENSG00000213588	0.49	PPI	IAH
ENSG00000176903	ENSG00000178343	0.56	PPI	IAH
ENSG00000106511	ENSG00000178343	0.49	PPI	IAH
ENSG00000128610	ENSG00000188581	0.49	PPI	IAH
ENSG00000166946	ENSG00000188735	0.56	PPI	IAH
ENSG00000104369	ENSG00000188735	0.49	PPI	IAH
ENSG00000157613	ENSG00000188735	0.49	PPI	IAH
ENSG00000069493	ENSG00000249581	0.49	PPI	IAH
ENSG00000106511	ENSG00000174899	0.49	PPI	IAH
ENSG00000134107	ENSG00000186980	0.56	PPI	IAH
ENSG00000157110	ENSG00000186980	0.56	PPI	IAH
ENSG00000186980	ENSG00000188493	0.49	PPI	IAH
ENSG00000137266	ENSG00000187766	0.56	PPI	IAH
ENSG00000137266	ENSG00000254997	0.56	PPI	IAH
ENSG00000137266	ENSG00000264343	0.56	PPI	IAH
ENSG00000106511	ENSG00000137266	0.49	PPI	IAH
ENSG00000104892	ENSG00000162069	0.56	PPI	IAH
ENSG00000109205	ENSG00000143442	0.49	PPI	IAH
ENSG00000152102	ENSG00000152977	0.49	PPI	IAH
ENSG00000152102	ENSG00000206538	0.49	PPI	IAH
ENSG00000090061	ENSG00000152102	0.49	PPI	IAH
ENSG00000002834	ENSG00000152102	0.49	PPI	IAH
ENSG00000135482	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000187033	0.49	PPI	IAH
ENSG00000143442	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000169612	0.49	PPI	IAH
ENSG00000131721	ENSG00000152102	0.49	PPI	IAH
ENSG00000151650	ENSG00000152102	0.49	PPI	IAH
ENSG00000069011	ENSG00000152102	0.49	PPI	IAH
ENSG00000126603	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000168269	0.49	PPI	IAH
ENSG00000152102	ENSG00000158246	0.49	PPI	IAH
ENSG00000129521	ENSG00000152102	0.49	PPI	IAH
ENSG00000132522	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000173065	0.49	PPI	IAH
ENSG00000152102	ENSG00000169071	0.49	PPI	IAH
ENSG00000125835	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000164438	0.49	PPI	IAH
ENSG00000152102	ENSG00000172482	0.49	PPI	IAH
ENSG00000152102	ENSG00000176473	0.49	PPI	IAH
ENSG00000115507	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000162148	0.49	PPI	IAH
ENSG00000152102	ENSG00000177613	0.49	PPI	IAH
ENSG00000148737	ENSG00000152102	0.49	PPI	IAH
ENSG00000111859	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000160973	0.49	PPI	IAH
ENSG00000152102	ENSG00000167987	0.49	PPI	IAH
ENSG00000151929	ENSG00000152102	0.49	PPI	IAH
ENSG00000152102	ENSG00000170689	0.49	PPI	IAH
ENSG00000104964	ENSG00000152102	0.49	PPI	IAH
ENSG00000101624	ENSG00000105135	0.56	PPI	IAH
ENSG00000113648	ENSG00000204334	0.7	PPI	IAH
ENSG00000137575	ENSG00000204334	0.56	PPI	IAH
ENSG00000152240	ENSG00000217442	0.56	PPI	IAH
ENSG00000176476	ENSG00000217442	0.49	PPI	IAH
ENSG00000104164	ENSG00000217442	0.56	PPI	IAH
ENSG00000123143	ENSG00000217442	0.49	PPI	IAH
ENSG00000047579	ENSG00000164181	0.56	PPI	IAH
ENSG00000087338	ENSG00000216649	0.56	PPI	IAH
ENSG00000087338	ENSG00000237671	0.56	PPI	IAH
ENSG00000087338	ENSG00000227488	0.56	PPI	IAH
ENSG00000103154	ENSG00000179954	0.56	PPI	IAH
ENSG00000152240	ENSG00000179954	0.49	PPI	IAH
ENSG00000152944	ENSG00000179954	0.7	PPI	IAH
ENSG00000179954	ENSG00000182473	0.56	PPI	IAH
ENSG00000047579	ENSG00000179954	0.56	PPI	IAH
ENSG00000179954	ENSG00000213024	0.7	PPI	IAH
ENSG00000107651	ENSG00000179954	0.7	PPI	IAH
ENSG00000171703	ENSG00000179954	0.49	PPI	IAH
ENSG00000056558	ENSG00000179954	0.56	PPI	IAH
ENSG00000169981	ENSG00000186628	0.49	PPI	IAH
ENSG00000159882	ENSG00000186628	0.56	PPI	IAH
ENSG00000104964	ENSG00000186628	0.56	PPI	IAH
ENSG00000104147	ENSG00000186628	0.49	PPI	IAH
ENSG00000186628	ENSG00000198466	0.7	PPI	IAH
ENSG00000077279	ENSG00000186628	0.49	PPI	IAH
ENSG00000112640	ENSG00000186628	0.56	PPI	IAH
ENSG00000131023	ENSG00000186628	0.56	PPI	IAH
ENSG00000109083	ENSG00000186628	0.56	PPI	IAH
ENSG00000176896	ENSG00000186628	0.56	PPI	IAH
ENSG00000104611	ENSG00000186628	0.7	PPI	IAH
ENSG00000186628	ENSG00000204536	0.7	PPI	IAH
ENSG00000139684	ENSG00000186628	0.7	PPI	IAH
ENSG00000168309	ENSG00000186628	0.56	PPI	IAH
ENSG00000157119	ENSG00000186628	0.49	PPI	IAH
ENSG00000105617	ENSG00000186628	0.7	PPI	IAH
ENSG00000186628	ENSG00000187778	0.49	PPI	IAH
ENSG00000102081	ENSG00000186628	0.56	PPI	IAH
